post_id,titulo,precio,moneda,provincia,barrio,localizacion,tipo_propiedad,tipo_operacion,superficie_total,superficie_cubierta,dormitorios,ambientes,banos,expensas,piso,departamentos_x_piso,pisos,antiguedad,tipo_departamento,disposicion,condiciones_especiales,tipo_vendedor,vendedor,fotos,latitud,longitud,cocheras,descripcion,apto_credito,con_aire,con_jardin,con_parrilla,con_pileta,apto_profesional,url,
 43878961,Venta - Departamento Torre Categoria con Cochera - San Telmo,150.000,U$S,,,Piedras al 1100  San Telmo  Capital Federal,Departamento,Venta,56m2,52m2,,2,,$ 9.200,,,,5,,Contrafrente,,,[],,,,,,Si,Si,,Si,Si,Si,https://www.zonaprop.com.ar/propiedades/venta-departamento-torre-categoria-con-cochera-san-43878961.html,
 43910675,Studio en Venta - Harbour Residences,198.000,U$S,,,Lola Mora al 400  Puerto Madero  Capital Federal,Departamento,Venta,46m2,40m2,,,,$ 6.000,,,,6,,Frente,,,[],,,,,,,,,,,Si,https://www.zonaprop.com.ar/propiedades/studio-en-venta-harbour-residences-43910675.html,
 43393510,Departamento en Venta Ubicado en Puerto Madero  Capital Federal,879.000,U$S,,,Juana Manso 1100  Puerto Madero  Capital Federal,Departamento,Venta,135m2,135m2,3,4,3,$ 15.000,,,,10,,Frente,,,[],,,,2,,,Si,,,,,https://www.zonaprop.com.ar/propiedades/departamento-en-venta-ubicado-en-puerto-madero-43393510.html,post_id,titulo,precio,moneda,provincia,barrio,localizacion,tipo_propiedad,tipo_operacion,superficie_total,superficie_cubierta,dormitorios,ambientes,banos,expensas,piso,departamentos_x_piso,pisos,antiguedad,tipo_departamento,disposicion,condiciones_especiales,tipo_vendedor,vendedor,fotos,latitud,longitud,cocheras,descripcion,apto_credito,con_aire,con_jardin,con_parrilla,con_pileta,apto_profesional,url,
 27272080,Gallo Al 1000 - Palermo - Caba,142.000,U$S,,,Gallo 1000  Palermo  Capital Federal,Departamento,Venta,48m2,48m2,,2,,$ 3.454,,,,5,,Frente,,,[],,,,0,,Si,Si,,Si,Si,Si,https://www.zonaprop.com.ar/propiedades/gallo-al-1000-palermo-caba-27272080.html,
 43878961,Venta - Departamento Torre Categoria con Cochera - San Telmo,150.000,U$S,,,Piedras al 1100  San Telmo  Capital Federal,Departamento,Venta,56m2,52m2,,2,,$ 9.200,,,,5,,Contrafrente,,,[],,,,,,Si,Si,,Si,Si,Si,https://www.zonaprop.com.ar/propiedades/venta-departamento-torre-categoria-con-cochera-san-43878961.html,
 43910675,Studio en Venta - Harbour Residences,198.000,U$S,,,Lola Mora al 400  Puerto Madero  Capital Federal,Departamento,Venta,46m2,40m2,,,,$ 6.000,,,,6,,Frente,,,[],,,,,,,,,,,Si,https://www.zonaprop.com.ar/propiedades/studio-en-venta-harbour-residences-43910675.html,
 43393510,Departamento en Venta Ubicado en Puerto Madero  Capital Federal,879.000,U$S,,,Juana Manso 1100  Puerto Madero  Capital Federal,Departamento,Venta,135m2,135m2,3,4,3,$ 15.000,,,,10,,Frente,,,[],,,,2,,,Si,,,,,https://www.zonaprop.com.ar/propiedades/departamento-en-venta-ubicado-en-puerto-madero-43393510.html,
 43541986,Lindo Moderno 4 Amb Balcón Terraza Patio Cochera Jardín Pileta Ap/ Crédito,249.000,U$S,,,CUBA al 3800  Nuñez  Capital Federal,Departamento,Venta,95m2,67m2,3,4,2,$ 4.861,,,,8,,Frente,,,[],,,,,,Si,,,,Si,,https://www.zonaprop.com.ar/propiedades/lindo-moderno-4-amb-balcon-terraza-patio-cochera-43541986.html,
 43909473,Quartier San Telmo - Excelente 2 Ambientes con Cochera,185.000,U$S,,,Av. Garay al 700  San Telmo  Capital Federal,Departamento,Venta,44m2,44m2,,2,,,,,,6,,Contrafrente,,,[],,,,,,,,,Si,Si,Si,https://www.zonaprop.com.ar/propiedades/quartier-san-telmo-excelente-2-ambientes-con-cochera-43909473.html,
