titulo,localizacion,moneda,precio,superficie_total,superficie_cubierta,dormitorios,ambientes,expensas,pisos,disposicion,piso,departamentos_x_piso,cocheras,tipo_departamento,antiguedad,con_pileta
Av. Medrano 500,Av. Medrano 500 - Almagro,$,17750,,78m²,2,,Incluidas,,,,,1,Departamento,,
Au Acceso Oeste Km41 (colectora sur) 10400,Au Acceso Oeste Km41 (colectora sur) 10400 - La Reja Grande,'],,8162m²,5241m²,,,,,,,,,,,
M Bravo 1200,"M Bravo 1200, 1° piso - Palermo",$,18000,,40m²,Monoambiente,,Incluidas,,,,,1,Departamento,,
Culpina 300,"Culpina 300, PB piso - Flores",$,11500,,46m²,1,,Incluidas,,Frente,,,,Departamento,,
Av Santa Fe 3500,"Av Santa Fe 3500, 9° piso - Botanico",$,8000,,30m²,1,,$1.900,,Lateral,,,,Departamento,40años,
J Bonifacio 1500,"J Bonifacio 1500, 2° piso - Caballito",$,22000,,69m²,2,,$4.500,,Contrafrente,,,,Departamento,8años,
Av Diaz Velez 5500,Av Diaz Velez 5500 - Cid Campeador,$,17000,,,2,,$4.000,,Contrafrente,,,,Departamento,15años,
RESERVADO Mario Bravo 1100,"RESERVADO Mario Bravo 1100, 1° piso - Palermo",SIMUL\xc TU CR\xcDITO'],19,3m²,34m²,Monoambiente,,NoIncluidas,,Contrafrente,,,,Departamento,,
quesada 5300,"quesada 5300, 3° piso - Villa Urquiza",$,12500,,,1,,,,,,,,Departamento,8años,
Av B Rivadavia 7100,"Av B Rivadavia 7100, 4º piso - Flores",$,14000,5m²,75m²,2,,$4.000,,Contrafrente,,,,Departamento,,
14 1300,14 1300 - La Plata,$,27000,,80m²,2,,NoIncluidas,,Contrafrente,,,,Departamento,5años,
Bonpland 900,Bonpland 900 - Palermo,$,20000,,,2,,,,,,,,,,
Fray J. Sta. María de Oro 2900,Fray J. Sta. María de Oro 2900 - Palermo Nuevo,$,27000,,120m²,3,,$6.000,6,Frente,,1,1,Departamento,20años,
Charcas 3000,"Charcas 3000, 4° piso - Palermo",$,18000,,35m²,Monoambiente,,Incluidas,,Frente,,,,Departamento,6años,Si
F Planes 600,F Planes 600 - Parque Centenario,$,25000,,110m²,3,,,,Frente,,,1,Departamento,,
Cnel T De Rocamora 4400,"Cnel T De Rocamora 4400, 4° piso - Almagro Norte",$,11700,,40m²,1,,$2.500,,Contrafrente,,,,Departamento,15años,
Sgto E Romero 2500,Sgto E Romero 2500 - River,$,35000,,,3,,,,,,,,Casa,,
Av Corrientes 1600,"Av Corrientes 1600, 5° piso - Centro",$,10000,,,Monoambiente,,Incluidas,,Contrafrente,,,,Departamento,,
A Nazarre 2600,"A Nazarre 2600, PB piso - Villa del Parque",$,25200,,74m²,2,,AConvenir,,,,,,,10años,
"Pte Peron 8591, Ituzaingo","Pte Peron 8591, Ituzaingo - Barrio Parque Leloir",$,7000,,,,,,,,,,,,1años,
Juncal 4500,Juncal 4500 - Palermo,$,15450,,84m²,2,,Incluidas,,,,,1,Departamento,,
Av Cabildo 3100,Av Cabildo 3100 - Nuñez,$,22000,,,3,,,,Contrafrente,,,,Semipiso,,
,- Ramos Mejia,$,16000,,,1,,,,,,,,,,
,- Belgrano,$,78000,,,,,,,,,,,,,
J Melian 2100,J Melian 2100 - Belgrano R,$,33000,,100m²,2,,$5.600,,Frente,,,1,Piso,,
,- Centro,'],,,,,,,,,,,,,,
Domingo F Sarmiento 4000,Domingo F Sarmiento 4000 - Almagro,$,21500,4m²,95m²,3,,AConvenir,,Contrafrente,,,,Departamento,,
Franklin D Roosevelt 4800,Franklin D Roosevelt 4800 - Villa Urquiza,$,12200,6m²,35m²,Monoambiente,,,,Contrafrente,,,,Departamento,2años,
"Au Acceso Oeste KM 31500, esquina Marconi","Au Acceso Oeste KM 31500, esquina Marconi - Graham Bell",$,200000,750m²,1000m²,,,,,,,,,,1años,
1800,1800 - Barrio Santa Rita,$,12000,8m²,40m²,,,NoIncluidas,,Frente,,,,Departamento,,
Rep De Honduras 3700,Rep De Honduras 3700 - Palermo,$,6000,30m²,30m²,Monoambiente,,Incluidas,,,,,2,Departamento,,
Calle 330 Bis 1800,Calle 330 Bis 1800 - Quilmes Oeste,$,30000,,280m²,,,,,,,,,,,
,- Centro,'],,,,,,,,,,,,,,
Montañeses 1900,"Montañeses 1900, 4º piso - Belgrano C",$,17000,"2,43m²","53,38m²",2,,NoIncluidas,,Contrafrente,,,,Departamento,,
A Pacheco 2100,"A Pacheco 2100, 6° piso - Urquiza R",$,15000,3m²,40m²,1,,$2.800,,Frente,,,1,Departamento,8años,
Pasco 1800,"Pasco 1800, 4° piso - Rosario",$,8700,,46m²,1,,,Excelente,,,,,Departamento,,
NECOCHEA 1900,"NECOCHEA 1900, 04° piso - Rosario",$,6500,40m²,40m²,1,,$900,,,,,,,,
CONSTITUCION 400,"CONSTITUCION 400, 03° piso - Rosario",$,6600,,65m²,1,,$700,,,,,,,,
darragueira 2300,darragueira 2300 - Palermo Soho,$,15000,25m²,40m²,1,,NoPaga,,Contrafrente,,,,Departamento,4años,
Gral Venancio Flores 3700,"Gral Venancio Flores 3700, 3° piso - Floresta",$,12000,,48m²,2,,NoIncluidas,,Frente,,,,Departamento,,
Moreno 1700,Moreno 1700 - Congreso,$,70000,,500m²,,,,,,,,,,,
4400,4400 - Chacarita,$,65000,,360m²,,,,,,,,,,2años,
Av San Juan 3900,Av San Juan 3900 - Boedo,$,6000,47m²,47m²,1,,,,Frente,,,2,Departamento,,
Malabia 700,Malabia 700 - Villa Crespo,$,7000,100m²,100m²,2,,,,Frente,,,2,Departamento,11años,
Cerrito 1500,"Cerrito 1500, 15° piso - Recoleta",$,14000,6m²,40m²,1,,NoIncluidas,,Contrafrente,,,,Departamento,45años,
Av B Rivadavia 3400,Av B Rivadavia 3400 - Almagro,$,11500,15m²,45m²,1,,$1.800,,,,,,Departamento,,
0,0 - San Justo,$,6800,,,1,,,,Interno,,,,Departamento,,
0,0 - Barrio Norte,SIMUL\xc TU CR\xcDITO'],19,,95m²,2,,,,,,,,,,
Chorroarin 800,Chorroarin 800 - Paternal,$,15000,,80m²,,,,,,,,,,30años,
Arenales 3000,"Arenales 3000, 1° piso - Recoleta",$,13000,3m²,40m²,1,,$3.100,,Frente,,,,Departamento,45años,
CATAMARCA 3700,CATAMARCA 3700 - Rosario,$,6900,,65m²,3,,,,Contrafrente,,,,Departamento,,
Cabello 3900,"Cabello 3900, 8° piso - Palermo",SIMUL\xc TU CR\xcDITO'],19,,220m²,3,,,,Frente,,,1,Duplex,,
MENDOZA 3600,MENDOZA 3600 - Rosario,$,7900,,45m²,1,,,,Frente,,,1,Departamento,,
V. MERCANTE 100,V. MERCANTE 100 - Rosario,$,6700,,48m²,2,,,,Contrafrente,,,,Departamento,,
LA PAZ 700,LA PAZ 700 - Rosario,$,6800,,40m²,1,,,,Contrafrente,,,,Departamento,,
Mendoza 2800,"Mendoza 2800, 3° piso - Echesortu",$,6500,,38m²,1,,,3,,,4,,Departamento,,
MENDOZA 3600,MENDOZA 3600 - Rosario,$,15000,,80m²,2,,,,Frente,,,1,Departamento,,
Pasco 1800,"Pasco 1800, 6° piso - Centro",$,8000,4m²,40m²,1,,,,Frente,,,,Departamento,2años,
Mendoza 3200,"Mendoza 3200, 1° piso - Belgrano",$,15000,25m²,55m²,2,,NoIncluidas,,Lateral,,,,Departamento,,
VIDAL 2400,"VIDAL 2400, 1° piso - Belgrano",$,15000,,40m²,1,,NoIncluidas,,Contrafrente,,,,Departamento,,
AV. CÓRDOBA 600,"AV. CÓRDOBA 600, 12° piso - San Nicolás",$,11000,,35m²,1,,NoIncluidas,,Contrafrente,,,,Departamento,50años,
Jose M Morelos 600,"Jose M Morelos 600, 1° piso - Caballito",$,10500,"3,5m²",38m²,1,,NoIncluidas,,,,,,Departamento,,
M Bravo 1200,"M Bravo 1200, 1° piso - Palermo",$,15000,,37m²,Monoambiente,,Incluidas,,Contrafrente,,,1,Departamento,2años,
Virrey P De Cevallos 600,Virrey P De Cevallos 600 - Monserrat,$,7800,,,,,,,,,,,,10años,
HIDALGO 300,"HIDALGO 300, 3 ° piso - Caballito",$,10500,9m²,30m²,1,,$1.950,10,Frente,,6,,Departamento,40años,
Luis María Campos 1300,"Luis María Campos 1300, 1° piso - Belgrano",$,15000,"4,6m²",40m²,1,,NoIncluidas,,Frente,,,,Departamento,,Si
Dr P I Rivera 200,"Dr P I Rivera 200, 4° piso - Flores",$,10000,,40m²,1,,$2.000,9,,,4,,Departamento,,
Av. Coronel Díaz 2400,Av. Coronel Díaz 2400 - Parque Las Heras,$,18500,10m²,65m²,2,,NoIncluidas,,Contrafrente,,,,Departamento,43años,
Libertador entre Sinclair y Godoy Cruz,Libertador entre Sinclair y Godoy Cruz - Palermo Nuevo,USD,8000,,400m²,4,,,,Frente,,,1,,55años,
0,0 - Centro,SIMUL\xc TU CR\xcDITO'],19,,48m²,1,,,,,,,,,,
0,0 - Mar De Ajo,SIMUL\xc TU CR\xcDITO'],19,,,Monoambiente,,NoPaga,,,,,,,,
Av Belgrano 2200,"Av Belgrano 2200, 1° piso - Congreso",$,10000,,,Monoambiente,,Incluidas,,Frente,,,,Departamento,5años,
Thames 1800,Thames 1800 - Palermo,$,25000,,,,,,,,,,,,,
9 De Julio 2700,9 De Julio 2700 - Centro,$,8300,,,,,,,,,,,Departamento,,
Julio A Roca 600,Julio A Roca 600 - Monserrat,$,40000,,,,,$40.000,,,,,4,,40años,
MANUEL UGARTE 1900,MANUEL UGARTE 1900 - Belgrano,$,21000,3m²,67m²,2,,$4.857,,Frente,,,,Departamento,5años,
Iriondo 1600,"Iriondo 1600, 1° piso - Centro",$,5200,,28m²,Monoambiente,,,,Contrafrente,,,,Departamento,,
Av. La Plata 200,Av. La Plata 200 - Parque Rivadavia,$,18900,15m²,75m²,2,,NoIncluidas,,,,,1,Departamento,,
Juana Manso 1300,Juana Manso 1300 - Puerto Madero,$,50000,,125m²,3,,,,Frente,,,1,Departamento,20años,
Amenabar 50,Amenabar 50 - Palermo Hollywood,$,17500,,40m²,Monoambiente,,$5.290,,Contrafrente,,,1,,,Si
Avenida Callao 1660,Avenida Callao 1660 - Recoleta,USD,2600,20m²,150m²,2,,$20.000,,Contrafrente,,,2,,10años,Si
Alsina 1300,"Alsina 1300, 08° piso - Echesortu",$,5400,,30m²,,,$700,Bueno,Contrafrente,,,,Departamento,2años,
Juana Manso 1600,Juana Manso 1600 - Puerto Madero,$,23000,,56m²,1,,,,Frente,,,1,,15años,
Barzana 2000,"Barzana 2000, 7° piso - Urquiza R",$,13500,,47m²,1,,NoIncluidas,,Lateral,,,,Departamento,23años,
Zabala 1700,"Zabala 1700, 6° piso - Belgrano",$,23000,7m²,65m²,2,,$4.300,,Lateral,,,1,Departamento,50años,
avenida coronel diaz 2700,"avenida coronel diaz 2700, 9° piso - Palermo Chico",USD,2200,25m²,139m²,3,,Incluidas,,Frente,,,1,Departamento,30años,
Vidt 1700,Vidt 1700 - Palermo,$,12000,3m²,27m²,Monoambiente,,NoIncluidas,,Contrafrente,,,,Departamento,,
RUGGIERI 3000,RUGGIERI 3000 - Palermo Chico,USD,2300,5m²,120m²,2,,,,Frente,,,1,Semipiso,7años,
Nahuel Huapi 4900,"Nahuel Huapi 4900, 1° piso - Urquiza R",$,9200,13m²,46m²,1,,NoIncluidas,,Frente,,,,Departamento,,
