post_id,titulo,precio,moneda,provincia,barrio,localizacion,tipo_propiedad,tipo_operacion,superficie_total,superficie_cubierta,dormitorios,ambientes,banos,expensas,piso,departamentos_x_piso,pisos,antiguedad,tipo_departamento,disposicion,condiciones_especiales,tipo_vendedor,vendedor,fotos,latitud,longitud,cocheras,descripcion,apto_credito,con_aire,con_jardin,con_parrilla,con_pileta,apto_profesional,url,
699225299,Hubac 60  Valeria Del Mar,4.500,$,,,Hubac 60 Valeria Del Mar - Bs.as. Costa Atlántica,,Otro, 128 m² ,70 m²,2,3,2,,,,,,Departamento,Contrafrente,,,,,,,1,,,Si,,Si,Si,,,
692986100,Juan José Paso 144  Villa Cura Brochero  San Alberto,350,$,,,Juan José Paso 144 Villa Cura Brochero - San Alberto - Córdoba,,Otro, 400 m² ,60 m²,2,5,1,,,,,,,,,,,,,,1,,,Si,Si,Si,,,,
695127936,Patricio Peralta Ramos 2900  Torreón  Mar Del Plata,800,$,,,Patricio Peralta Ramos 2900 Torreón - Mar Del Plata - Bs.as. Costa Atlántica,,Otro, 30 m² ,30 m²,1,1,1,,23,,,,Departamento,Frente,,,,,,,,,,,,,,,,
711821002,El Gaucho 5200  Castelar  Morón,8.500,$,,,El Gaucho 5200 Castelar - Morón - Bs.as. G.b.a. Oeste,,Otro, 1750 ha ,180 m²,4,5,3,,,,,30 años,,,,,,,,,,,,Si,,Si,Si,,,
695732749,Paseo 117 170  Villa Gesell,1.000,$,,,Paseo 117 170 Villa Gesell - Bs.as. Costa Atlántica,,Otro, 580 m² ,80 m²,2,3,1,,,,,,Departamento,Frente,,,,,,,1,,,,Si,Si,,,,
696682828,Bilbao 215  Santa Clara Del Mar,1.000,$,,, ,,Otro, 100 m² ,82 m²,,,,,,,,5 años,,,,,,,,,,,,,,,,,,
715044085,Los Nogales 2464  La Lonja  Pilar,2.500,$,,,Los Nogales 2464 La Lonja - Pilar - Bs.as. G.b.a. Norte,,Otro, 650 ha ,70 m²,1,2,1,,,,,4 años,,,,,,,,,,,,Si,,Si,Si,,,
697771072,Rp 228 Y Barzola 00  Santa Rosa De Calamuchita  Calamuchita,1.500,$,,,Rp 228 Y Barzola 00 Santa Rosa De Calamuchita - Calamuchita - Córdoba,,Otro, 90 m² ,45 m²,1,2,1,,,,,,,,,,,,,,1,,,,Si,Si,Si,,,
705466556,Corrientes 42  Mar De Las Pampas,2.400,$,,,Corrientes 42 Mar De Las Pampas - Bs.as. Costa Atlántica,,Otro, 2100 m² ,69.18 m²,1,2,1,,,,,,,,,,,,,,1,,,,,,,,,
699109773,Cantata Del Bosque Natal 400  Merlo  Junín,1.000,$,,,Cantata Del Bosque Natal 400 Merlo - Junín - San Luis,,Otro, 1500 m² ,50 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
698885007,Punta Indio E/43 Y 44 457  Mar Azul,1.650,$,,,Punta Indio E/43 Y 44 457 Mar Azul - Bs.as. Costa Atlántica,,Otro, 200 m² ,90 m²,3,,2,,,,,,,,,,,,,,,,,,Si,Si,,,,
694530601,20 3200  San Clemente,111,$,,,20 3200 San Clemente - Bs.as. Costa Atlántica,,Otro, 50 m² ,50 m²,2,3,2,,,,,,Dúplex,Lateral,,,,,,,5,,,,Si,Si,,,,
690888468,7 1237  Santa Teresita,1.000,$,,,7 1237 Santa Teresita - Bs.as. Costa Atlántica,,Otro, 20 m² ,20 m²,2,3,1,,,,,,,,,,,,,,1,,,,,Si,,,,
704355410,Pereda 4000  La Reja  Moreno,31,$,,,Pereda 4000 La Reja - Moreno - Bs.as. G.b.a. Oeste,,Otro, 1500 ha ,120 m²,2,4,1,,,,,20 años,,,,,,,,,,,,,,,,,,
690647272,Golfo San Jorge Esquina Chinchorro 100  Santa Clara Del Mar,3.000,$,,,Golfo San Jorge Esquina Chinchorro 100 Santa Clara Del Mar - Bs.as. Costa Atlántica,,Otro, 70 m² ,70 m²,1,3,2,,,,1,,,,,,,,,,1,,,Si,Si,Si,Si,,,
742085828,Avenida De Mar 1000  Linea Norte Mar  Pinamar,2.000,$,,,Avenida De Mar 1000 Linea Norte Mar - Pinamar - Bs.as. Costa Atlántica,,Otro, 80 m² ,80 m²,1,2,1,,,,,,,,,,,,,,1,,,Si,,Si,Si,,,
709332167,Cochabamba 1750  Congreso ,1.000,$,,,Cochabamba 1750 Congreso - Capital Federal,,Otro, 64 m² ,64 m²,2,3,2,,8,,,,Departamento,Frente,,,,,,,,,,Si,Si,,,,,
693852894,Cadiz 36  Santa Clara Del Mar,900,$,,,Cadiz 36 Santa Clara Del Mar - Bs.as. Costa Atlántica,,Otro, 450 m² ,45 m²,2,3,1,,,,,,,,,,,,,,,,,,Si,Si,,,,
735842445,Ruta 8 42800  Parque Peró  Pilar,8.000,$,,,Ruta 8 42800 Parque Peró - Pilar - Bs.as. G.b.a. Norte,,Otro, 1500 m² ,240 m²,3,5,2,,,,,10 años,,,,,,,,,,,,,,Si,Si,,,
699855798,Biarritz 82  Zona Duplex  Pinamar,3.000,$,,,Biarritz 82 Zona Duplex - Pinamar - Bs.as. Costa Atlántica,,Otro, 320 m² ,85 m²,2,4,3,,,,,,,,,,,,,,,,,,Si,Si,,,,
716703369,Arroyo Dorado 320  Delta  Tigre,800,$,,,Arroyo Dorado 320 Delta - Tigre - Bs.as. G.b.a. Norte,,Otro, 3000 m² ,80 m²,,,,,,,,10 años,,,,,,,,,,,,,,,,,,
696033936,5 8200  Mar Del Tuyú,900,$,,,5 8200 Mar Del Tuyú - Bs.as. Costa Atlántica,,Otro, 200 m² ,75 m²,2,3,1,,,,,,,,,,,,,,1,,,,Si,Si,,,,
