titulo,localizacion,moneda,precio,superficie_total,superficie_cubierta,dormitorios,ambientes,expensas,pisos,disposicion,piso,departamentos_x_piso,cocheras,tipo_departamento,antiguedad,con_pileta
"Av. Lope De Vega 2889, Villa Devoto,",Av. Lope De Vega 2889 Villa Devoto - Capital Federal,U$S,214.000, 130 m² ,120 m²,3,4,,,,,,,,,
"Aristobulo Del Valle Al 2600, Playa Chica, Mar Del Plata",Aristobulo Del Valle Al 2600 Playa Chica - Mar Del Plata - Bs.as. Costa Atlántica,U$S,299.000, 110 m² ,95 m²,2,3,7000,,Frente,,,1,,7 años,Si
"Mendoza Y Bv. Oroño, Centro, Rosario",Mendoza Y Bv. Oroño Centro - Rosario - Santa Fe,U$S,890.000, 377 m² ,330 m²,6,12,,2,,,,1,,80 años,Si
"Viamonte Y Suipacha 900, Barrio Norte,",Viamonte Y Suipacha 900 Barrio Norte - Capital Federal,$,18.000, 60 m² ,60 m²,2,3,,,,,,,,,
"Godoy Cruz Entre Santa Fe Y Beruti 2742, Palermo,",Godoy Cruz Entre Santa Fe Y Beruti 2742 Palermo - Capital Federal,$,2.000, 150 m² ,150 m²,,,,1,,,,,,,
"Urquiza 685, San Bernardo",Urquiza 685 San Bernardo - Bs.as. Costa Atlántica,$,2.000, 60 m² ,60 m²,2,,,,,,,,,,
"San Martin 1546, Cofico,",San Martin 1546 Cofico - Córdoba,$,6.500, 45 m² ,,1,1,,,,,,,,,
"Sargento Cabral 237, Chacabuco",Sargento Cabral 237 Chacabuco - Buenos Aires Interior,$,11.111, 960 m² ,580 m²,,,,1,,,,1,,25 años,
"Av.5 Entre 133 Y 135 3433, Villa Gesell",Av.5 Entre 133 Y 135 3433 Villa Gesell - Bs.as. Costa Atlántica,$,30, 150 m² ,120 m²,3,5,,2,,,,2,,,
"Marta Lynch Al 400, Puerto Madero,",Marta Lynch Al 400 Puerto Madero - Capital Federal,U$S,1.530.000, 214 m² ,214 m²,4,4,16000,50,Frente,,1,3,Departamento,0 años,Si
"Alameda 307 567, Villa Gesell",Alameda 307 567 Villa Gesell - Bs.as. Costa Atlántica,$,2.500, 100 m² ,90 m²,2,3,,2,,,,1,,,
"Lafuente 300, Flores,",Lafuente 300 Flores - Capital Federal,$,10.990, 38 m² ,38 m²,1,2,,,,,,,,,
