titulo,localizacion,moneda,precio,superficie_total,superficie_cubierta,dormitorios,ambientes,expensas,pisos,disposicion,piso,departamentos_x_piso,cocheras,tipo_departamento,antiguedad,con_pileta
Terrenos y Lotes en Venta en Avenida Nordelta 1,Avenida Nordelta 1 Nordelta Castaños - Tigre - Bs.as. G.b.a. Norte,U$S,130.000,,,,,,,,,,,,,
Casas en Venta en Acceso A El Cantón 1,Acceso A El Cantón 1 El Cantón - Escobar - Bs.as. G.b.a. Norte,U$S,225.000,,,,,,,,,,,,,Si
Departamentos en Venta en Virrey Del Pino 2728,Virrey Del Pino 2728 Belgrano - Capital Federal,U$S,90.000,,,,,,,,,,,,,Si
Terrenos y Lotes en Venta en Avenida Nordelta 1,Avenida Nordelta 1 Nordelta Virazón - Tigre - Bs.as. G.b.a. Norte,U$S,255.000,,,,,,,,,,,,,Si
Departamentos en Venta en Vera Mujica 1352,Vera Mujica 1352 Centro - Rosario - Santa Fe,U$S,4.905.333,,,,,,12,,,4,1,,,
Casas en Venta en Avenida Nordelta 100,Avenida Nordelta 100 Nordelta Tipas - Tigre - Bs.as. G.b.a. Norte,U$S,395.000,,,,,,,,,,,,,Si
Terrenos y Lotes en Venta en Calle S/n 0,Calle S/n 0 Canning - Ezeiza - Bs.as. G.b.a. Sur,U$S,24.400,,,,,,,,,,,,,
Casas en Venta en Edmundo Mariotte 5508,Edmundo Mariotte 5508 Villa Belgrano - Córdoba,U$S,275.000,,,,,,,,,,,,,Si
Departamentos en Venta en Domingo De Acassuso 1481,Domingo De Acassuso 1481 La Lucila - Vicente López - Bs.as. G.b.a. Norte,U$S,117.200,,,,,,14,,,,10,,,Si
Terrenos y Lotes en Venta en Domingo Nazarre 2999,Domingo Nazarre 2999 Zelaya - Pilar - Bs.as. G.b.a. Norte,$,975.000,,,,,,,,,,,,,
Departamentos en Venta en Rua Caamaño 1101,Rua Caamaño 1101 Villa Rosa - Pilar - Bs.as. G.b.a. Norte,U$S,130.000,,,,,,3,,,3,700,,,Si
Terrenos y Lotes en Venta en Avenida Monteverde 8000,Avenida Monteverde 8000 Abril - Berazategui - Bs.as. G.b.a. Sur,$,700.000,,,,,,,,,,,,,
Departamentos en Venta en Colpayo 303,Colpayo 303 Caballito - Capital Federal,U$S,95.000,,,,,,6,,,4,1,,,Si
Terrenos y Lotes en Venta en Ruta Provincial 58 16,Ruta Provincial 58 16 Canning - Ezeiza - Bs.as. G.b.a. Sur,U$S,15.000,,,,,,,,,,,,,
Departamentos en Venta en Avenida Del Libertador 1366,Avenida Del Libertador 1366 Vicente López - Bs.as. G.b.a. Norte,U$S,174.000,,,,,,,,,,,,,
Terrenos y Lotes en Venta en Colectora Este Ramal Pilar 45,Colectora Este Ramal Pilar 45 La Lomada - Pilar - Bs.as. G.b.a. Norte,U$S,230.000,,,,,,,,,,,,,Si
Departamentos en Venta en Tapiales 1200,Tapiales 1200 Vicente López - Bs.as. G.b.a. Norte,U$S,279.000,,,,,,,,,,,,,
Terrenos y Lotes en Venta en Panamericana Km 45,Panamericana Km 45 Puertos - Escobar - Bs.as. G.b.a. Norte,U$S,48.000,,,,,,,,,,,,,Si
Departamentos en Venta en Presidente Hipólito Yrigoyen 1514,Presidente Hipólito Yrigoyen 1514 Florida - Vicente López - Bs.as. G.b.a. Norte,U$S,139.000,,,,,,,,,,,,,
"Calle 307 1055, Villa Gesell",Calle 307 1055 Villa Gesell - Bs.as. Costa Atlántica,$,2.000, 450 m² ,90 m²,2,,,,,,,1,,,
Departamentos en Venta en San Lorenzo 2440,San Lorenzo 2440 Olivos - Vicente López - Bs.as. G.b.a. Norte,U$S,150.000,,,,,,4,,,,,,,Si
"De La Reducción 385, San Bernardo",De La Reducción 385 San Bernardo - Bs.as. Costa Atlántica,$,30, 120 m² ,60 m²,2,3,,1,,,,1,,,
Departamentos en Venta en Giordano Bruno 855,Giordano Bruno 855 Caballito - Capital Federal,U$S,148.500,,,,,,,,,,,,,
"Las Heras Al 3600, Lomas Del Mirador, La Matanza",Las Heras Al 3600 Lomas Del Mirador - La Matanza - Bs.as. G.b.a. Oeste,U$S,160.000, 142 m² ,129 m²,3,,,3,,,,1,,0 años,
Departamentos en Venta en Benjamín Matienzo 2489,Benjamín Matienzo 2489 Palermo - Capital Federal,U$S,97.712,,,,,,10,,,3,,,,
Departamentos en Venta en Guatemala 4319,Guatemala 4319 Palermo - Capital Federal,U$S,135.000,,,,,,11,,,3,5,,,
"528 Al 100, Tolosa, La Plata",528 Al 100 Tolosa - La Plata - Bs.as. G.b.a. Sur,U$S,94.900, 373 m² ,130 m²,3,,,,,,,1,,37 años,
Departamentos en Venta en La Pampa 3774,La Pampa 3774 Belgrano - Capital Federal,U$S,1.000.000,,,,,,3,,,1,2,,,Si
"Av. Paris 418, Ostende",Av. Paris 418 Ostende - Bs.as. Costa Atlántica,$,10.000, 400 m² ,120 m²,3,4,,1,,,,,,,
Departamentos en Venta en Mendoza 2777,Mendoza 2777 Centro - Rosario - Santa Fe,$,2.838.680,,,,,,10,,,2,,,,
"Ruta 11 380, Costa Esmeralda",Ruta 11 380 Costa Esmeralda - Bs.as. Costa Atlántica,U$S,210.000, 1000 m² ,160 m²,4,5,,1,,,,1,,1 años,
Departamentos en Venta en Avenida Del Barco Centenera 466,Avenida Del Barco Centenera 466 Caballito - Capital Federal,U$S,610.000,,,,,,13,,,1,15,,,
"Ruta 11 Km 380, Costa Esmeralda",Ruta 11 Km 380 Costa Esmeralda - Bs.as. Costa Atlántica,U$S,156.000, 167 m² ,140 m²,3,,,,,,,,,,
Departamentos en Venta en Colpayo 303,Colpayo 303 Caballito - Capital Federal,U$S,93.500,,,,,,6,,,4,1,,,Si
Departamentos en Venta en Valle 1426,Valle 1426 Caballito - Capital Federal,U$S,474.000,,,,,,8,,,2,24,,,
"Ricardo Guiraldes 420, Don Torcuato Oeste, Tigre",Ricardo Guiraldes 420 Don Torcuato Oeste - Tigre - Bs.as. G.b.a. Norte,U$S,130.000, 135 m² ,100 m²,2,4,,2,,,,1,,0 años,
Departamentos en Venta en Avenida Pedro Goyena 835,Avenida Pedro Goyena 835 Caballito - Capital Federal,U$S,893.000,,,,,,12,,,1,10,,,Si
"522 Bis Entre 7 Y 8 1241, Tolosa, La Plata",522 Bis Entre 7 Y 8 1241 Tolosa - La Plata - Bs.as. G.b.a. Sur,$,1, 275 m² ,150 m²,4,,,,,,,1,,,
"Diagonal Urquiza 400, San Bernardo",Diagonal Urquiza 400 San Bernardo - Bs.as. Costa Atlántica,$,25.000, 120 m² ,90 m²,3,4,,,,,,1,,,
Departamentos en Venta en Hortiguera 634,Hortiguera 634 Caballito - Capital Federal,U$S,154.000,,,,,,9,,,2,,,,
"Bolívar 173, San Telmo,",Bolívar 173 San Telmo - Capital Federal,$,900.000, 55 m² ,52 m²,,,,,,,,,,,
Departamentos en Venta en Avenida Eva Perón 1131,Avenida Eva Perón 1131 Parque Chacabuco - Capital Federal,U$S,216.000,,,,,,13,,,2,1,,,
"Alto Peru Al 900, San Isidro",Alto Peru Al 900 San Isidro - Bs.as. G.b.a. Norte,U$S,1.740.000, 1920 m² ,600 m²,5,13,,2,,,,6,,25 años,
"Espinosa Al 2300, Paternal,",Espinosa Al 2300 Paternal - Capital Federal,U$S,28.000,,,,,,,,,,,,0 años,
"Cordoba 1329, Pilar",Cordoba 1329 Pilar - Bs.as. G.b.a. Norte,U$S,140.000, 150000 m² ,135 m²,3,,,,,,,2,,,
"1 73, Mar Del Tuyú",1 73 Mar Del Tuyú - Bs.as. Costa Atlántica,$,800, 62 m² ,42 m²,2,3,,,Interno,,,,Departamento,,
"Mario Bravo Y Rawson 100, Merlo",Mario Bravo Y Rawson 100 Merlo - Bs.as. G.b.a. Oeste,U$S,95.000, 546 m² ,,,,,,Perimetral,,,,,,
"Avenida 2 221, Villa Gesell",Avenida 2 221 Villa Gesell - Bs.as. Costa Atlántica,$,1.800, 40 m² ,40 m²,1,2,,,Lateral,3,,,Departamento,,
"500 2974, Campos De Roca, Brandsen",500 2974 Campos De Roca - Brandsen - Buenos Aires Interior,U$S,92.000, 10000 m² ,,,,,,,,,,,,
"Flaubert 627, Bella Vista, San Miguel",Flaubert 627 Bella Vista - San Miguel - Bs.as. G.b.a. Norte,U$S,360.000, 620 m² ,175 m²,3,4,500,1,,,,2,,0 años,
"Chubut Sn, San Vicente",Chubut Sn San Vicente - Buenos Aires Interior,$,150, 500 m² ,,,,,,,,,,,,
"Falucho 1600, Centro, Mar Del Plata",Falucho 1600 Centro - Mar Del Plata - Bs.as. Costa Atlántica,$,1.800, 40 m² ,35 m²,1,2,,,Frente,,,1,Departamento,,
"Avenida Santa Maria 2900, Tigre",Avenida Santa Maria 2900 Tigre - Bs.as. G.b.a. Norte,U$S,649.000, 610 m² ,,,,,,,,,,,,
"Av. Del Libertador 7202, Núñez,",Av. Del Libertador 7202 Núñez - Capital Federal,U$S,34, 7286 m² ,7286 m²,,,,,,,,72,,,
"San Jose De Calasanz Al 800, Parque Chacabuco,",San Jose De Calasanz Al 800 Parque Chacabuco - Capital Federal,U$S,335.000, 111 m² ,98 m²,3,4,,9,,,,,,0 años,
"Av. Del Libertador 7202, Núñez,",Av. Del Libertador 7202 Núñez - Capital Federal,U$S,34, 9737 m² ,9737 m²,,,,,,,,97,,,
"Del Sauce 892, Golf Viejo, Pinamar",Del Sauce 892 Golf Viejo - Pinamar - Bs.as. Costa Atlántica,$,60.000, 980 m² ,350 m²,6,9,,2,,,,4,,,
"Baez Al 400 6° Entre Ortega Y Gasset Y Chenaut Av., Las Cañitas,",Baez Al 400 6° Entre Ortega Y Gasset Y Chenaut Av. Las Cañitas - Capital Federal,U$S,1.200,,,1,2,,,Frente,,,,,,Si
"Avenida Doctor Ricardo Balbín 1518, San Miguel",Avenida Doctor Ricardo Balbín 1518 San Miguel - Bs.as. G.b.a. Norte,$,500.000, 64 m² ,64 m²,,,,,,,,,,6 años,
"Guise Al 1900 1 Entre, Palermo,",Guise Al 1900 1 Entre Palermo - Capital Federal,U$S,1.100, 65 m² ,60 m²,2,3,,,Contrafrente,,,,,,
"85 312, San Clemente",85 312 San Clemente - Bs.as. Costa Atlántica,$,250, 100 m² ,50 m²,2,3,,2,,,,1,,,
"General Rodriguez, Pcia De Buenos Aires 1748, General Rodríguez","General Rodriguez, Pcia De Buenos Aires 1748 General Rodríguez - Bs.as. G.b.a. Oeste",U$S,815.000, 8000 m² ,1500 m²,,,,,,,,1,,50 años,
"Avenida 1 1190, Villa Gesell",Avenida 1 1190 Villa Gesell - Bs.as. Costa Atlántica,U$S,109.000, 73 m² ,58 m²,1,2,3460,10,Lateral,4,,1,Departamento,30 años,
"Romero 580, Zona B5, Pinamar",Romero 580 Zona B5 - Pinamar - Bs.as. Costa Atlántica,$,900, 400 m² ,160 m²,3,5,,2,,,,1,,,Si
"Coronel Suarez 1085, Temperley, Lomas De Zamora",Coronel Suarez 1085 Temperley - Lomas De Zamora - Bs.as. G.b.a. Sur,U$S,85.000, 50 m² ,45.2 m²,1,2,,,Frente,,4,1,Departamento,,
"Paseo 104.(entre 7 Y 8 ) 779, Villa Gesell",Paseo 104.(entre 7 Y 8 ) 779 Villa Gesell - Bs.as. Costa Atlántica,$,400, 173 m² ,60 m²,2,,,,,,,1,,,
"114 30, Villa Gesell",114 30 Villa Gesell - Bs.as. Costa Atlántica,$,600, 1600 m² ,1300 m²,,,,,,,,,,10 años,
"Paraguay Al 4400, Palermo Soho,",Paraguay Al 4400 Palermo Soho - Capital Federal,U$S,255.000, 53 m² ,51 m²,1,2,,,,,,,Departamento,0 años,Si
"Residencial 1 602, Costa Esmeralda",Residencial 1 602 Costa Esmeralda - Bs.as. Costa Atlántica,$,10.000, 1200 m² ,300 m²,5,6,,2,,,,2,,,
"Belgrano 276, Máximo Paz, Cañuelas",Belgrano 276 Máximo Paz - Cañuelas - Buenos Aires Interior,$,4.500, 1500 m² ,250 m²,4,5,,,,,,,,5 años,
"Torres Jai Hacoaj- Luis Garcia 1300,, Tigre","Torres Jai Hacoaj- Luis Garcia 1300, Tigre - Bs.as. G.b.a. Norte",U$S,240.000, 97 m² ,86 m²,3,4,9400,1,,,,1,,8 años,Si
"Pte Peron 3612, Los Polvorines, Malvinas Argentinas",Pte Peron 3612 Los Polvorines - Malvinas Argentinas - Bs.as. G.b.a. Norte,$,400.000, 40 m² ,40 m²,,,,,,,,,,,
"Ruta Provincial 18, El Trapiche, Coronel Pringles",Ruta Provincial 18 El Trapiche - Coronel Pringles - San Luis,U$S,34.900, 400 m² ,88 m²,2,,2200,,,,,2,,5 años,Si
"Blanco Encalada 2500, Belgrano,",Blanco Encalada 2500 Belgrano - Capital Federal,$,2.000, 36 m² ,33 m²,,1,,,Contrafrente,3,,,Departamento,,
"San Guillermo Al 7600, Martín Coronado, Tres De Febrero",San Guillermo Al 7600 Martín Coronado - Tres De Febrero - Bs.as. G.b.a. Oeste,U$S,119.500,,87 m²,2,,,2,,,,1,,25 años,
"Tucuman Al 800, Pilar",Tucuman Al 800 Pilar - Bs.as. G.b.a. Norte,U$S,89.000, 54 m² ,54 m²,1,2,,,,,,,Departamento,0 años,
"Rio Santa Cruz 750, Monte Hermoso",Rio Santa Cruz 750 Monte Hermoso - Buenos Aires Interior,$,1.300, 45 m² ,37 m²,1,,,,,,,,,,
"Ventura Gutierrez 1, Maldonado",Ventura Gutierrez 1 Maldonado - Uruguay,U$S,500, 45 m² ,45 m²,1,2,,,Frente,,,1,Departamento,,
"Taormina 250, Santa Clara Del Mar",Taormina 250 Santa Clara Del Mar - Bs.as. Costa Atlántica,$,800, 450 m² ,40 m²,1,2,,,,,,1,,,
"Espinosa Al 2300, Paternal,",Espinosa Al 2300 Paternal - Capital Federal,U$S,90.285, 35 m² ,30 m²,1,1,,,,,,,Departamento,0 años,
"Hernandez 350, San Bernardo",Hernandez 350 San Bernardo - Bs.as. Costa Atlántica,$,1.000, 60 m² ,55 m²,2,,,,,,,1,,50 años,
"Jose Champagnat Y Montes De Oca 1, Canning, Ezeiza",Jose Champagnat Y Montes De Oca 1 Canning - Ezeiza - Bs.as. G.b.a. Sur,U$S,122.500, 62 m² ,42 m²,1,2,,,,,,1,,0 años,
"Mariano Necochea 345, General Rodríguez",Mariano Necochea 345 General Rodríguez - Buenos Aires Interior,$,4.000, 2500 ha ,100 m²,3,4,,,,,,,,30 años,Si
"Belgrano 1200, Mar De Ajo",Belgrano 1200 Mar De Ajo - Bs.as. Costa Atlántica,$,900, 120 m² ,70 m²,2,3,,2,,,,1,,,
"Corro 105, Centro,",Corro 105 Centro - Córdoba,U$S,42.000, 33 m² ,33 m²,1,1,,,Frente,,,,Monoambiente,,
"Miero 3500, La Reja, Moreno",Miero 3500 La Reja - Moreno - Bs.as. G.b.a. Oeste,$,10.000, 8000 m² ,400 m²,5,5,,,,,,,,10 años,Si
"Balcarce 200, San Rafael",Balcarce 200 San Rafael - Mendoza,$,650, 250 m² ,150 m²,3,4,,,,,,2,,,
"Dr. Rómulo Naon 2336, Belgrano R,",Dr. Rómulo Naon 2336 Belgrano R - Capital Federal,U$S,245.000, 79.9 m² ,69.9 m²,2,3,4000,8,Frente,,4,,Departamento,30 años,
"Cantata Del Bosque Natal 400, Merlo, Junín",Cantata Del Bosque Natal 400 Merlo - Junín - San Luis,$,1.000, 1500 m² ,50 m²,,,,,,,,,,,
"Leñatero 600, Cariló",Leñatero 600 Cariló - Bs.as. Costa Atlántica,$,200, 720 m² ,140 m²,4,,,1,,,,1,,,
"Arroyo Dorado 320, Delta, Tigre",Arroyo Dorado 320 Delta - Tigre - Bs.as. G.b.a. Norte,$,800, 3000 m² ,80 m²,,,,,,,,,,10 años,
"Santiago Del Estero 1964, Mar Del Plata",Santiago Del Estero 1964 Mar Del Plata - Bs.as. Costa Atlántica,$,1.100, 30 m² ,28 m²,1,1,,,Frente,,,,Departamento,,
"Sandino 774, Tandil",Sandino 774 Tandil - Buenos Aires Interior,$,400, 60 m² ,40 m²,2,,,,,,,1,,10 años,
"Los Nogales 2464, La Lonja, Pilar",Los Nogales 2464 La Lonja - Pilar - Bs.as. G.b.a. Norte,$,2.500, 650 ha ,70 m²,1,2,,,,,,,,4 años,Si
"Virgilio Tedin 100, Tigre",Virgilio Tedin 100 Tigre - Bs.as. G.b.a. Norte,U$S,139.000, 63 m² ,63 m²,1,2,,,,,,,,,
"Avenida Costanera 3151, San Clemente",Avenida Costanera 3151 San Clemente - Bs.as. Costa Atlántica,$,2.600, 200 m² ,100 m²,5,5,,,,,,2,,,
"Falucho 929, General Rodríguez",Falucho 929 General Rodríguez - Buenos Aires Interior,$,3.000, 2000 m² ,1000 m²,3,,,,,,,,,,
"Bolivar 1000, Varese, Mar Del Plata",Bolivar 1000 Varese - Mar Del Plata - Bs.as. Costa Atlántica,$,1, 50 m² ,50 m²,2,3,,,,,,,,,
"Residencial1 270, Costa Esmeralda",Residencial1 270 Costa Esmeralda - Bs.as. Costa Atlántica,$,3.000, 250 m² ,200 m²,3,4,,2,,,,,,,
"Avenida San Antonio Abad, Esquina Arroyo Ventana 2, Las Grutas, San Antonio","Avenida San Antonio Abad, Esquina Arroyo Ventana 2 Las Grutas - San Antonio - Río Negro",$,1.000, 56 m² ,49 m²,1,2,,,,,,1,Departamento,,
"Calle Domingo Sierra De Los Padres 81, Otros Barrios, Mar Del Plata",Calle Domingo Sierra De Los Padres 81 Otros Barrios - Mar Del Plata - Bs.as. Costa Atlántica,$,1.500, 2400 m² ,60 m²,1,,,,,,,,,,Si
"Paseo 106 987, Villa Gesell",Paseo 106 987 Villa Gesell - Bs.as. Costa Atlántica,$,450, 35 m² ,35 m²,,1,,,,,,,,7 años,
"Paso Del Hervidero Y Santa Catalina 50, Puerto Yeruá, Concordia",Paso Del Hervidero Y Santa Catalina 50 Puerto Yeruá - Concordia - Entre Ríos,$,2.400, 1000 m² ,100 m²,2,5,,,,,,2,,,Si
"Av. Roosevelt Y Parada 8 8, Punta Del Este, Maldonado",Av. Roosevelt Y Parada 8 8 Punta Del Este - Maldonado - Uruguay,U$S,140, 99 m² ,85 m²,2,3,,,Frente,19,,1,Departamento,,Si
"Rosario 1, Santa María De Punilla, Punilla",Rosario 1 Santa María De Punilla - Punilla - Córdoba,$,1.100, 600 m² ,60 m²,2,3,,2,,,,1,,,Si
"Real De Azua 3700, Urca,",Real De Azua 3700 Urca - Córdoba,U$S,340.000, 600 m² ,360 m²,5,,,2,,,,4,,0 años,Si
"33 151, Santa Teresita",33 151 Santa Teresita - Bs.as. Costa Atlántica,$,1.100, 35 m² ,32 m²,1,2,,,Frente,,,,Departamento,,
"Esturion 3000, Golf Viejo, Pinamar",Esturion 3000 Golf Viejo - Pinamar - Bs.as. Costa Atlántica,$,2.500, 668 m² ,224 m²,4,6,,2,,,,2,,,Si
"Calle 19 986, Miramar",Calle 19 986 Miramar - Bs.as. Costa Atlántica,$,1.500, 38 m² ,38 m²,1,2,,,Lateral,1,,,Departamento,,
"Senderos 1 41, Costa Esmeralda", ,$,5.000, 1100 m² ,180 m²,4,5,,1,,,,1,,,Si
"Bartolome Mitre 300, Linea Sur Mar, Pinamar",Bartolome Mitre 300 Linea Sur Mar - Pinamar - Bs.as. Costa Atlántica,$,2.000, 75 m² ,75 m²,2,3,,,Frente,1,,1,Departamento,,
"Córdoba 538, Mina Clavero, San Alberto",Córdoba 538 Mina Clavero - San Alberto - Córdoba,$,466, 500 m² ,76 m²,3,5,,,,,,2,,,
"Paseo104 Bis 2163, Villa Gesell",Paseo104 Bis 2163 Villa Gesell - Bs.as. Costa Atlántica,$,11.200, 450 m² ,50 m²,2,3,,,,,,1,,,
"De Las Burriquetas 4055, Pinamar",De Las Burriquetas 4055 Pinamar - Bs.as. Costa Atlántica,$,8.900, 600 m² ,300 m²,5,5,,,,,,2,,,
"20 3200, San Clemente",20 3200 San Clemente - Bs.as. Costa Atlántica,$,111, 50 m² ,50 m²,2,3,,,Lateral,,,5,Dúplex,,
"Richieri 300, Chascomús",Richieri 300 Chascomús - Buenos Aires Interior,$,1.200, 80 m² ,40 m²,2,3,,,,,,1,,,Si
"Calle 309 369, Villa Gesell",Calle 309 369 Villa Gesell - Bs.as. Costa Atlántica,$,50, 130 m² ,100 m²,2,3,,,Frente,,,1,Departamento,,
"San Juan 4673, La Lucila Del Mar",San Juan 4673 La Lucila Del Mar - Bs.as. Costa Atlántica,$,999, 150 m² ,150 m²,2,3,,,,,,,,,
"Ruta 14 135, San Javier Y Yacanto, San Javier",Ruta 14 135 San Javier Y Yacanto - San Javier - Córdoba,$,1.600, 94.5 m² ,52 m²,2,3,,,,,,1,,,Si
"Cochabamba 1750, Congreso,",Cochabamba 1750 Congreso - Capital Federal,$,1.000, 64 m² ,64 m²,2,3,,,Frente,8,,,Departamento,,
"50 954, San Clemente",50 954 San Clemente - Bs.as. Costa Atlántica,$,12.600, 450 m² ,60 m²,2,3,,,,,,,,,
"Caleta De Los Loros 550, Las Grutas, San Antonio",Caleta De Los Loros 550 Las Grutas - San Antonio - Río Negro,$,1.000, 300 m² ,30 m²,,1,,,Interno,1,,2,Departamento,,
"Pinamar Y 38 38, Mar Azul",Pinamar Y 38 38 Mar Azul - Bs.as. Costa Atlántica,$,1.000, 255 m² ,70 m²,1,1,,,,,,,,,
"173 Y Playa 1, Mar De Las Pampas",173 Y Playa 1 Mar De Las Pampas - Bs.as. Costa Atlántica,$,1.400, 70 m² ,70 m²,1,2,,,Frente,,,1,Departamento,,Si
"Cordoba 253, La Lucila Del Mar",Cordoba 253 La Lucila Del Mar - Bs.as. Costa Atlántica,$,2.200, 150 m² ,85 m²,3,4,,1,,,,1,,,
"Avenida Del Libertador 4700, Las Cañitas,",Avenida Del Libertador 4700 Las Cañitas - Capital Federal,U$S,830.000, 280 m² ,263 m²,4,5,,,Frente,6,1,2,Piso,,
"Arroyo Durazno 1000, Delta, Tigre",Arroyo Durazno 1000 Delta - Tigre - Bs.as. G.b.a. Norte,$,900, 800 m² ,30 m²,1,1,,,,,,,,,
"Jonas 399, Centro, Pinamar",Jonas 399 Centro - Pinamar - Bs.as. Costa Atlántica,$,800, 28 m² ,26 m²,1,1,,,Frente,,,,Departamento,,
"Ingleses 0, Florianópolis, Santa Catarina",Ingleses 0 Florianópolis - Santa Catarina - Brasil,$,500, 190 m² ,190 m²,3,,,,,,,3,,,Si
"Catamarca 2025, San Bernardo",Catamarca 2025 San Bernardo - Bs.as. Costa Atlántica,$,1.500, 32 m² ,32 m²,1,2,,,Frente,3,,,Departamento,,
"Almafuerte 3901, Banco Provincia, Moreno",Almafuerte 3901 Banco Provincia - Moreno - Bs.as. G.b.a. Oeste,$,3.500, 363 m² ,120 m²,3,4,,,,,,,,20 años,Si
"Boulevard Nuevo Bosque Y Moctezuma 300, Bosques De Peralta Ramos, Mar Del Plata",Boulevard Nuevo Bosque Y Moctezuma 300 Bosques De Peralta Ramos - Mar Del Plata - Bs.as. Costa Atlántica,$,1.900, 450 m² ,110 m²,2,3,,2,,,,1,,,
"7 1300, San Clemente",7 1300 San Clemente - Bs.as. Costa Atlántica,$,1.000, 35 m² ,35 m²,1,1,,,Interno,,,2,Departamento,,
"Teodoro Fels 7300, Trujui, Moreno",Teodoro Fels 7300 Trujui - Moreno - Bs.as. G.b.a. Oeste,$,6.000, 4500 m² ,200 m²,,,,,,,,,,1 años,Si
"127 631, Villa Gesell",127 631 Villa Gesell - Bs.as. Costa Atlántica,$,1.111, 650 m² ,80 m²,2,3,,,,,,1,,,
"Leopoldo Zarling 136, Bombinhas, Santa Catarina",Leopoldo Zarling 136 Bombinhas - Santa Catarina - Brasil,$,1.200, 84 m² ,72 m²,2,3,,,Lateral,3,,1,Departamento,,
"Ruta 5 Km 82 0, Lomas Este, Villa General Belgrano",Ruta 5 Km 82 0 Lomas Este - Villa General Belgrano - Córdoba,$,1.670, 112 m² ,112 m²,2,3,,,,,,2,,,Si
"Las Madreselvas 674, Costa Del Este",Las Madreselvas 674 Costa Del Este - Bs.as. Costa Atlántica,$,2.000, 633 m² ,50 m²,2,3,,,,,,,,,
"Paseo 120 Y Av 1 100, Villa Gesell", ,$,900, 49 m² ,49 m²,1,2,,,,,,1,,,
"Gulliver 1181, Tridente, Pinamar",Gulliver 1181 Tridente - Pinamar - Bs.as. Costa Atlántica,$,1.000, 60 m² ,60 m²,1,2,,,,,,,,10 años,
"Chorlo 201, Cariló",Chorlo 201 Cariló - Bs.as. Costa Atlántica,$,2.000, 120 m² ,100 m²,2,4,,,,,,,,,
"Balcarce 2880, La Perla, Mar Del Plata",Balcarce 2880 La Perla - Mar Del Plata - Bs.as. Costa Atlántica,$,750, 41 m² ,39 m²,1,2,,,Frente,9,,1,Departamento,,
"Ruta 8 Km70 1, Fátima, Pilar",Ruta 8 Km70 1 Fátima - Pilar - Bs.as. G.b.a. Norte,$,4.500, 3500 m² ,200 m²,4,5,,,,,,,,20 años,Si
"Corbeta Agradable Y Azopardo 1, Valeria Del Mar",Corbeta Agradable Y Azopardo 1 Valeria Del Mar - Bs.as. Costa Atlántica,$,1.000, 220 m² ,70 m²,2,3,,1,,,,1,,,
"Martin Jereb 200, Villa Catedral, Bariloche",Martin Jereb 200 Villa Catedral - Bariloche - Río Negro,$,1.100, 110 m² ,90 m²,2,4,,,Frente,1,,1,Dúplex,,
"Figueroa Alcorta / Camet Norte 400, Santa Clara Del Mar",Figueroa Alcorta / Camet Norte 400 Santa Clara Del Mar - Bs.as. Costa Atlántica,$,1.000, 500 m² ,60 m²,,,,,,,,,,1 años,
"Avenida 1 Entre 138-139 13900, Villa Gesell",Avenida 1 Entre 138-139 13900 Villa Gesell - Bs.as. Costa Atlántica,$,1.500, 70 m² ,70 m²,2,3,,,Frente,,,1,Departamento,,
"Entre Rios 408, Pueblo General Belgrano, Gualeguaychú",Entre Rios 408 Pueblo General Belgrano - Gualeguaychú - Entre Ríos,$,350, 450 m² ,110 m²,3,5,,,,,,1,,,Si
"Santiago Del Estero 2051, Centro, Mar Del Plata",Santiago Del Estero 2051 Centro - Mar Del Plata - Bs.as. Costa Atlántica,$,1.500, 30 m² ,30 m²,1,1,,,Contrafrente,9,,,Departamento,,
"Los Sauces 1, Bosques De Peralta Ramos, Mar Del Plata",Los Sauces 1 Bosques De Peralta Ramos - Mar Del Plata - Bs.as. Costa Atlántica,$,3.500, 450 m² ,70 m²,2,3,,,,,,1,,,Si
"De Las Toninas 24, Centro, Pinamar",De Las Toninas 24 Centro - Pinamar - Bs.as. Costa Atlántica,$,1.500, 65 m² ,63 m²,2,3,,,Frente,,,1,Departamento,,
"Av.los Mandarinos 900, Carpintería, Junín",Av.los Mandarinos 900 Carpintería - Junín - San Luis,$,1.500, 70 m² ,48 m²,1,2,,,,,,1,,,
"Irazusta 135, Pueblo General Belgrano, Gualeguaychú",Irazusta 135 Pueblo General Belgrano - Gualeguaychú - Entre Ríos,$,150, 300 m² ,80 m²,2,3,,,Frente,1,,2,Dúplex,,
"Araucaria 208, La Quinta Cuarta Sección, Villa Carlos Paz",Araucaria 208 La Quinta Cuarta Sección - Villa Carlos Paz - Córdoba,$,980, 240 m² ,62 m²,2,,,,,,,8,,,Si
"Av. 2 4300, Necochea",Av. 2 4300 Necochea - Bs.as. Costa Atlántica,$,1.700, 55 m² ,55 m²,2,3,,,Frente,,,,Departamento,,
"Arbolito 960, Santa Clara Del Mar", ,$,800, 200 m² ,45 m²,1,2,,,,,,,,,
"Alvarez De Arenales 3515, La Reja, Moreno",Alvarez De Arenales 3515 La Reja - Moreno - Bs.as. G.b.a. Oeste,$,2.800, 3600 m² ,200 m²,2,5,,,,,,,,0 años,Si
