post_id,titulo,precio,moneda,provincia,barrio,localizacion,tipo_propiedad,tipo_operacion,superficie_total,superficie_cubierta,dormitorios,ambientes,banos,expensas,piso,departamentos_x_piso,pisos,antiguedad,tipo_departamento,disposicion,condiciones_especiales,tipo_vendedor,vendedor,fotos,latitud,longitud,cocheras,descripcion,apto_credito,con_aire,con_jardin,con_parrilla,con_pileta,apto_profesional,url,
747916093,Av Jorge Newbery 340  Bahía Blanca,28.000,$,,,Av Jorge Newbery 340 Bahía Blanca - Buenos Aires Interior,,Otro,,298 m²,,,2,,,,,1 años,,,,,Jorgealbertogarber,,,,,,,,,,,,https://inmueble.mercadolibre.com.ar/MLA-747916093-alquiler-galpoacuten-av-newbery-_JM,
731018316,33 Al 100  Bahía Blanca,20.000,U$S,,,33 Al 100 Bahía Blanca - Buenos Aires Interior,,Otro, 5000 m² ,5000 m²,,,,,,,,0 años,,,,,Vivot Pablo Rem,,,,,,,,,,,,https://inmueble.mercadolibre.com.ar/MLA-731018316-galpones-depositos-o-edificios-ind-alquiler-bahia-blanca-_JM,
747917050,Pueyrredon 464  Bahía Blanca,35.000,$,,,Pueyrredon 464 Bahía Blanca - Buenos Aires Interior,,Otro, 400 m² ,350 m²,,,1,,,,,0 años,,,,,Jorgealbertogarber,,,,,,,,,,,,https://inmueble.mercadolibre.com.ar/MLA-747917050-alquiler-galpon-pueyrredon-464-_JM,
