post_id,titulo,precio,moneda,provincia,barrio,localizacion,tipo_propiedad,tipo_operacion,superficie_total,superficie_cubierta,dormitorios,ambientes,banos,expensas,piso,departamentos_x_piso,pisos,antiguedad,tipo_departamento,disposicion,condiciones_especiales,tipo_vendedor,vendedor,fotos,latitud,longitud,cocheras,descripcion,apto_credito,con_aire,con_jardin,con_parrilla,con_pileta,apto_profesional,url,
754635013,San Matias Al 100  San Matías  Escobar,270.000,U$S,,,San Matias Al 100 San Matías - Escobar - Bs.as. G.b.a. Norte,,Otro, 210 m² ,172 m²,3,,4,,,,2,0 años,,,,,Maroto Propiedades,,,,2,,,,,Si,,,https://casa.mercadolibre.com.ar/MLA-754635013-countries-y-barrios-cerrados-venta-san-matias-_JM,
755470912,Barrio Golf Al 100  El Cantón  Escobar,250.000,U$S,,,Barrio Golf Al 100 El Cantón - Escobar - Bs.as. G.b.a. Norte,,Otro,,165 m²,3,,3,,,,,0 años,,,,,Bienvende Amelia Claro,,,,2,,,,,,,,https://casa.mercadolibre.com.ar/MLA-755470912-casas-venta-el-canton-_JM,
755477458,Colectora De Acceso Al 100  La Candelaria  Escobar,235.000,U$S,,,Colectora De Acceso Al 100 La Candelaria - Escobar - Bs.as. G.b.a. Norte,,Otro, 150 m² ,150 m²,3,,,,,,,9 años,,,,,Top Bienes Raíces,,,,,,,,,,,,https://casa.mercadolibre.com.ar/MLA-755477458-countries-y-barrios-cerrados-venta-la-candelaria-ing-maschwitz-_JM,
754828559,Libertad Al 300  El Cantón  Escobar,265.000,U$S,,,Libertad Al 300 El Cantón - Escobar - Bs.as. G.b.a. Norte,,Otro, 740 m² ,160 m²,3,,3,,,,,0 años,,,,,Top Bienes Raíces,,,,2,,,,Si,Si,Si,,https://casa.mercadolibre.com.ar/MLA-754828559-countries-y-barrios-cerrados-venta-el-canton-_JM,
754642127,Ruta 26 Al 1400  Ingeniero Maschwitz  Escobar,350.000,U$S,,,Ruta 26 Al 1400 Ingeniero Maschwitz - Escobar - Bs.as. G.b.a. Norte,,Otro, 230 m² ,230 m²,3,,2,,,,2,0 años,,,,,Maroto Propiedades,,,,,,,Si,Si,,,,https://casa.mercadolibre.com.ar/MLA-754642127-countries-y-barrios-cerrados-venta-maschwitz-privado-_JM,
754633670,San Matias Al 100  San Matías  Escobar,210.000,U$S,,,San Matias Al 100 San Matías - Escobar - Bs.as. G.b.a. Norte,,Otro, 194 m² ,164 m²,3,,3,,,,1,0 años,,,,,Maroto Propiedades,,,,,,,,,Si,,,https://casa.mercadolibre.com.ar/MLA-754633670-countries-y-barrios-cerrados-venta-san-matias-_JM,
754446640,Sin Dirección Al 100  El Cantón  Escobar,220.000,U$S,,,Sin Dirección Al 100 El Cantón - Escobar - Bs.as. G.b.a. Norte,,Otro, 180 m² ,180 m²,3,,,,,,,0 años,,,,,Top Bienes Raíces,,,,,,,,,,,,https://casa.mercadolibre.com.ar/MLA-754446640-countries-y-barrios-cerrados-venta-el-canton-_JM,
754639616,San Matias Al 100  San Matías  Escobar,229.000,U$S,,,San Matias Al 100 San Matías - Escobar - Bs.as. G.b.a. Norte,,Otro, 182 m² ,152 m²,3,,3,,,,2,0 años,,,,,Maroto Propiedades,,,,,,,,,,,,https://casa.mercadolibre.com.ar/MLA-754639616-countries-y-barrios-cerrados-venta-san-matias-_JM,
754641588,Islandia Al 300  El Cantón  Escobar,348.000,U$S,,,Islandia Al 300 El Cantón - Escobar - Bs.as. G.b.a. Norte,,Otro, 280 m² ,200 m²,3,,3,,,,2,0 años,,,,,Maroto Propiedades,,,,2,,,,,Si,,,https://casa.mercadolibre.com.ar/MLA-754641588-countries-y-barrios-cerrados-venta-el-canton-golf-_JM,
754845762,Haras Santa María Al 100  Haras Santa María  Escobar,290.000,U$S,,,Haras Santa María Al 100 Haras Santa María - Escobar - Bs.as. G.b.a. Norte,,Otro, 260 m² ,260 m²,3,,3,,,,2,0 años,,,,,Blanco Propiedades,,,,2,,,Si,Si,,Si,,https://casa.mercadolibre.com.ar/MLA-754845762-casas-venta-haras-santa-maria-las-lomas-_JM,
