post_id,titulo,precio,moneda,provincia,barrio,localizacion,tipo_propiedad,tipo_operacion,superficie_total,superficie_cubierta,dormitorios,ambientes,banos,expensas,piso,departamentos_x_piso,pisos,antiguedad,tipo_departamento,disposicion,condiciones_especiales,tipo_vendedor,vendedor,fotos,latitud,longitud,cocheras,descripcion,apto_credito,con_aire,con_jardin,con_parrilla,con_pileta,apto_profesional,
751573830,Av Libertador 5100  Belgrano ,43.000,$,,,Av Libertador 5100 Belgrano - Capital Federal,departamento,alquiler, 166 m² ,158 m²,3,4,3,18000,4,,,20 años,Piso,Frente,,,,,,,1,,,,,,,,
754816903,San Martin 1546  Cofico ,6.500,$,,,San Martin 1546 Cofico - Córdoba,departamento,alquiler, 45 m² ,,1,1,1,,,,,,,,,,House Negocios Inmo,,,,,,,,,,,,
754801936,Marconi Al 500  Avellaneda,10.500,$,,,Marconi Al 500 Avellaneda - Bs.as. G.b.a. Sur,departamento,alquiler, 45 m² ,45 m²,1,2,1,,,,,0 años,Departamento,,,,Novoa Propiedades,,,,,,,,,,,,
754383755,Independencia 1116  La Perla  Mar Del Plata,18.000,$,,, ,departamento,alquiler, 62 m² ,56 m²,1,2,1,1800,2,3,7,20 años,Departamento,Frente,,,,,,,,,,,,,,,
754175479,Juana Manso 740  Puerto Madero ,40.000,$,,,Juana Manso 740 Puerto Madero - Capital Federal,departamento,alquiler, 90 m² ,90 m²,2,3,2,,,,,,,,,,,,,,,,,Si,Si,,Si,,
753379359,Jonas Salk 4200  Olivos  Vicente López,15.000,$,,,Jonas Salk 4200 Olivos - Vicente López - Bs.as. G.b.a. Norte,departamento,alquiler, 50 m² ,50 m²,1,2,1,1300,1,3,,5 años,Departamento,Frente,,,,,,,1,,,Si,,,,,
753601654,Chiozza 3050  San Bernardo,1.000,$,,,Chiozza 3050 San Bernardo - Bs.as. Costa Atlántica,departamento,alquiler, 40 m² ,40 m²,1,2,1,,1,5,3,20 años,Departamento,Contrafrente,,,,,,,,,,,,,,,
753547795,Ecuador Al 900  Barrio Norte ,13.900,$,,,Ecuador Al 900 Barrio Norte - Capital Federal,departamento,alquiler, 28 m² ,28 m²,1,1,1,1800,,,1,50 años,,Contrafrente,,,Lexinton Propieadades,,,,,,,,,,,Si,
751868299,Jonas 580  Centro  Pinamar,17.500,$,,,Jonas 580 Centro - Pinamar - Bs.as. Costa Atlántica,departamento,alquiler, 60 m² ,45 m²,1,2,1,,,,,,,,,,,,,,1,,,,,,,,
754649530,Alberdi  Juan B.  Av. 1200  Caballito ,9.500,$,,,Alberdi  Juan B.  Av. 1200 Caballito - Capital Federal,departamento,alquiler, 27 m² ,27 m²,1,1,1,1800,,,9,,Departamento,Contrafrente,,,Buyma Propiedades,,,,,,,,,,,,
753765454,La Pampa Al 4200  Villa Urquiza ,13.455,$,,,La Pampa Al 4200 Villa Urquiza - Capital Federal,departamento,alquiler, 40 m² ,34 m²,1,1,1,2800,,,1,1 años,,Contrafrente,,,Lexinton Propiedades,,,,,,,,,Si,Si,Si,
752106775,Grecia 3394  Núñez ,19.350,$,,,Grecia 3394 Núñez - Capital Federal,departamento,alquiler, 59 m² ,56 m²,1,2,2,,,,,,,,,,,,,,,,,,,,,,
751602393,Mariano Acha Al 4100  Saavedra ,15.000,$,,,Mariano Acha Al 4100 Saavedra - Capital Federal,departamento,alquiler, 38 m² ,34 m²,1,2,1,1400,,,1,20 años,,Frente,,,Lexinton Propieadades,,,,,,,,,,,,
749327258,Ombú 2828  San Justo  La Matanza,7.500,$,,,Ombú 2828 San Justo - La Matanza - Bs.as. G.b.a. Oeste,departamento,alquiler, 58 m² ,38 m²,1,1,1,,1,2,3,4 años,Departamento,Frente,,,,,,,,,,,,,,,
746420359,Virrey Del Pino 2460  Belgrano ,11.000,$,,,Virrey Del Pino 2460 Belgrano - Capital Federal,departamento,alquiler, 38 m² ,34 m²,,1,1,,,,,,,,,,,,,,,,,,,,,,
747549236,Querini 277  San Bernardo,2.000,$,,,Querini 277 San Bernardo - Bs.as. Costa Atlántica,departamento,alquiler, 100 m² ,80 m²,3,4,2,,,,,,Tríplex,,,,,,,,1,,,,,Si,,Si,
750135729,Puyrredon 2701  Lomas Del Mirador  La Matanza,8.500,$,,,Puyrredon 2701 Lomas Del Mirador - La Matanza - Bs.as. G.b.a. Oeste,departamento,alquiler, 40 m² ,40 m²,,1,1,,,,,,,,,,,,,,,,,,,,,,
746222982,Callao 2112  Ciudad Madero  La Matanza,9.800,$,,,Callao 2112 Ciudad Madero - La Matanza - Bs.as. G.b.a. Oeste,departamento,alquiler, 70 m² ,65 m²,2,3,1,,,,,,,,,,,,,,1,,,,,,,,
749216106,Avda. Pedro Goyena 1790  Caballito ,17.000,$,,,Avda. Pedro Goyena 1790 Caballito - Capital Federal,departamento,alquiler, 70 m² ,70 m²,2,3,1,,3,3,6,30 años,Departamento,Contrafrente,,,,,,,1,,,Si,,,,,
749018074,Sargento Cabral 3359  Lomas Del Mirador  La Matanza,8.000,$,,,Sargento Cabral 3359 Lomas Del Mirador - La Matanza - Bs.as. G.b.a. Oeste,departamento,alquiler, 46 m² ,38 m²,1,1,1,,,8,5,1 años,Departamento,Frente,,,,,,,,,,,,Si,,,
738998437,1 1572  La Plata,9.000,$,,,1 1572 La Plata - Bs.as. G.b.a. Sur,departamento,alquiler, 57 m² ,55 m²,1,2,1,2500,3,3,8,2 años,Departamento,Contrafrente,,,Soto Alberto,,,,,,,Si,,,,Si,
746665648,Venezuela Al 3200  Villa Martelli  Vicente López,7.500,$,,,Venezuela Al 3200 Villa Martelli - Vicente López - Bs.as. G.b.a. Norte,departamento,alquiler,,30 m²,1,2,1,,,,,0 años,,,,,De Paola,,,,,,,,,,,,
748127266,Altolaguirre 3268  Villa Urquiza ,15.000,$,,,Altolaguirre 3268 Villa Urquiza - Capital Federal,departamento,alquiler, 48 m² ,44 m²,1,2,2,2500,4,3,5,7 años,Dúplex,Contrafrente,,,,,,,1,,,Si,,,,,
750906222,Ceretti 2342  Villa Urquiza ,13.000,$,,,Ceretti 2342 Villa Urquiza - Capital Federal,departamento,alquiler, 48 m² ,46 m²,1,2,1,,,,,,,,,,,,,,,,,,,,,,
749527597,Arenales 1300  Barrio Norte ,11.500,$,,,Arenales 1300 Barrio Norte - Capital Federal,departamento,alquiler, 35 m² ,35 m²,1,2,1,,,,,,,,,,,,,,,,,Si,,,,,
745252906,Av Costanera 4261  San Clemente,1.100,$,,,Av Costanera 4261 San Clemente - Bs.as. Costa Atlántica,departamento,alquiler, 63 m² ,49 m²,1,2,1,,,1,2,0 años,Departamento,Frente,,,,,,,,,,,Si,Si,,,
751801370,Av. Australia 2815  Barracas ,18.000,$,,,Av. Australia 2815 Barracas - Capital Federal,departamento,alquiler, 55 m² ,55 m²,2,3,2,,,,,,Departamento,Frente,,,,,,,,,,,,,,,
746397189,Chacabuco 861  Ciudadela  Tres De Febrero,7.500,$,,,Chacabuco 861 Ciudadela - Tres De Febrero - Bs.as. G.b.a. Oeste,departamento,alquiler, 20 m² ,20 m²,1,1,1,,,,,5 años,Departamento,Frente,,,,,,,,,,,,,,,
746135729,Mariano Acha 1636  Villa Urquiza ,11.500,$,,,Mariano Acha 1636 Villa Urquiza - Capital Federal,departamento,alquiler, 43 m² ,43 m²,1,2,1,1400,,,,,,,,,,,,,,,,,,,,,
747157442,Tinogasta 2700  Agronomía ,10.000,$,,,Tinogasta 2700 Agronomía - Capital Federal,departamento,alquiler, 36 m² ,36 m²,1,2,1,,,,,,,,,,,,,,,,,,,,,,
749559110,Saladillo 200  Sarandí  Avellaneda,6.200,$,,,Saladillo 200 Sarandí - Avellaneda - Bs.as. G.b.a. Sur,departamento,alquiler, 30 m² ,30 m²,1,2,1,,,,,10 años,Departamento,Interno,,,,,,,,,,,,,,,
747310133,Lavalle 3000  Almagro ,9.000,$,,,Lavalle 3000 Almagro - Capital Federal,departamento,alquiler, 38 m² ,38 m²,,1,1,,,,,,,,,,,,,,,,,,,,,,
747347374,Zeballos 3800  Sarandí  Avellaneda,5.600,$,,,Zeballos 3800 Sarandí - Avellaneda - Bs.as. G.b.a. Sur,departamento,alquiler, 30 m² ,30 m²,1,2,1,,,,,,,,,,,,,,,,,,,,,,
752230922,Libertador 274  Retiro ,15.000,$,,,Libertador 274 Retiro - Capital Federal,departamento,alquiler, 49 m² ,45 m²,1,2,1,,,,,,,,,,,,,,,,,,,,,,
752040730,Luis Pereyra Y Pasaje Valle 871  Tigre,11.000,$,,,Luis Pereyra Y Pasaje Valle 871 Tigre - Bs.as. G.b.a. Norte,departamento,alquiler, 55 m² ,47 m²,1,2,1,,3,2,4,0 años,Departamento,Frente,,,,,,,1,,,Si,,,,,
752558406,Salguero Y Cordoba 1100  Palermo ,12.000,$,,,Salguero Y Cordoba 1100 Palermo - Capital Federal,departamento,alquiler, 40 m² ,38 m²,,1,1,,,,,2 años,Monoambiente,Contrafrente,,,,,,,,,,,,,Si,,
752851844,Av. Del Libertador 6200  Belgrano ,17.000,$,,,Av. Del Libertador 6200 Belgrano - Capital Federal,departamento,alquiler, 50 m² ,50 m²,2,3,1,4500,5,4,,35 años,Departamento,Frente,,,,,,,,,,Si,,,,,
753985820,Cochabamba 958  Barracas ,10.000,$,,,Cochabamba 958 Barracas - Capital Federal,departamento,alquiler, 45 m² ,45 m²,1,2,1,,,,,,,,,,,,,,,,,,,,,,
